LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
1,0.0451933,0.102193,0.00292093,0.0025,0,-178967,-0.40056,0.916127,-0.0162239,-178967,-36147.1,3.54418e-13,0.40056,-0.916127,0.0162239,-0.797324,-0.601388,-0.0510631,-0.10928,-0.107512,0.98818,starting,
2,0.0299468,0.116861,0.00272194,0.0025,0,-98233.1,-0.468077,0.88254,0.0450183,-98233.1,-219.574,-7.7993e-14,-0.468077,0.88254,0.0450183,-0.879757,-0.475416,-0.00256889,0.0533359,0.0796844,-0.995392,"278",
3,0.0795637,0.0758977,0.0028175,0.0025,0,-145686,0.351197,0.935286,0.0436057,-7.55215e-12,-145686,9.50958e-16,0.98391,-0.178471,-0.00832083,-0.351197,-0.935286,-0.0436057,-0.104538,-0.0355641,0.993885,"290",
5,0.0417116,0.0653588,0.00282997,0.0025,0,-327467,-0.783429,-0.621479,0.00164448,-327467,-16614.4,4.28002e-13,0.783429,0.621479,-0.00164448,-0.564814,0.821233,0.0810008,-0.111355,0.171468,-0.978876,"131",
6,0.0432665,0.0493985,0.0024907,0.0025,0,-116977,0.885312,0.461022,-0.0606733,-116977,-56511.3,-4.16862e-13,0.885312,0.461022,-0.0606733,-0.352491,0.935199,0.0339526,-0.104019,-0.0320307,-0.994059,"38",
7,0.0338615,0.0333696,0.0025942,0.0025,0,-171003,0.784512,-0.619044,0.0363977,-171003,-31684.7,-21.1667,0.784512,-0.619044,0.0363977,-0.584102,-0.807114,-0.0859736,-0.102728,-0.0696618,0.992267,"115",
9,0.0543409,0.0382557,0.00255366,0.0025,0,-313091,-0.332181,-0.943215,0.000854464,-192461,-313091,-6.82287,-0.884814,0.465646,-0.0166941,0.332181,0.943215,-0.000854464,-0.0277789,0.0160748,0.999485,"326",
10,0.11091,0.0877186,0.00262833,0.0025,0,-340255,-0.362652,0.931491,-0.0284359,-340255,-5049.88,7.88389e-13,0.362652,-0.931491,0.0284359,0.894967,0.268531,-0.356267,-0.251231,-0.114065,-0.961183,"175",
11,0.0756655,0.050842,0.00263773,0.0025,0,-102246,0.105031,-0.994391,0.0124282,-6.63768e-14,-102246,1.10679e-15,0.999881,0.0154145,-0.000192656,0.105031,-0.994391,0.0124282,-0.388328,0.0253957,0.921171,"410",
12,0.0185172,0.0552283,0.0027063,0.0025,1,-157157,0.496445,0.86805,-0.00566702,-2.58019e-11,-157157,9.43259e-16,0.930197,-0.367052,0.00239628,-0.496445,-0.86805,0.00566702,-0.00885486,0.00209253,0.999959,starting,
