LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
1,0.0421785,0.104767,0.00287407,0.0025,0,-186429,-0.409965,0.912056,0.00909017,-186429,-56144.4,2.5689e-13,0.409965,-0.912056,-0.00909017,-0.719206,-0.685796,-0.111476,-0.104269,-0.0849039,0.990918,starting,
3,0.0806037,0.0760842,0.00280303,0.0025,1,-41943.9,0.979665,-0.196781,-0.0391623,-41943.9,-1.09587e-12,-1.87213e-14,-0.979665,0.196781,0.0391623,0.19504,0.961931,0.191438,0.020306,-0.0880862,0.995906,starting,
5,0.0386672,0.064336,0.00280435,0.0025,2,-166908,-0.718476,-0.695518,-0.00687339,-166908,-11028.5,2.55472e-13,0.718476,0.695518,0.00687339,0.574751,-0.814072,-0.0833616,0.101023,-0.147277,0.983923,starting,
6,0.0398434,0.0473681,0.00252293,0.0025,2,-150303,-0.919491,-0.38711,0.0684224,-150303,-88543.7,-2.73884e-12,0.919491,0.38711,-0.0684224,-0.154848,0.987938,0.000517674,-0.0883728,-0.0186063,-0.995914,"38",
9,0.0526465,0.0347997,0.00259805,0.0025,3,-220636,0.757009,-0.65218,0.0399975,-220636,-170255,-276.982,-0.757009,0.65218,-0.0399975,0.338765,0.940804,0.0111975,-0.0514545,0.0202835,0.998469,starting,
10,0.114654,0.0889734,0.00263632,0.0025,4,-17114.7,-0.318645,0.946942,-0.0420341,6.48015e-13,-17114.7,2.83537e-15,0.960768,0.277081,-0.0122994,0.318645,-0.946942,0.0420341,-0.0165804,0.0471815,0.998749,starting,
11,0.0759152,0.0490504,0.00262877,0.0025,5,-122032,-0.0144116,0.999539,-0.0267276,-2.99478e-15,-122032,1.32136e-14,0.999892,0.0147079,-0.00039329,0.0144116,-0.999539,0.0267276,0.503235,0.0307405,0.863603,starting,
13,0.0924899,0.124188,0.00278632,0.0025,6,-261345,0.471684,-0.881535,0.0202737,-261345,-59705.1,-394.147,-0.471684,0.881535,-0.0202737,0.87671,0.480756,0.0159003,-0.0107703,0.0118927,0.999871,starting,
14,0.0758771,0.106532,0.00275367,0.0025,7,-122738,0.576072,0.817315,0.0117357,5.17566e-12,-122738,-2.03586e-15,0.814924,-0.579508,-0.00832109,-0.576072,-0.817315,-0.0117357,0.0112021,-0.0228994,0.999675,starting,
15,0.101874,0.0788421,0.00265007,0.0025,8,-180138,-0.541776,-0.839538,0.0406732,-89774.7,-180138,-6.13343e-13,-0.993626,0.112662,0.00394798,0.541776,0.839538,-0.0406732,7.66883e-05,0.0473349,0.998879,starting,
16,0.0451498,0.0772121,0.00281331,0.0025,9,-179645,-0.877743,-0.479126,0.00214997,-179645,-65877.7,-3.84159e-14,0.877743,0.479126,-0.00214997,0.285942,-0.95781,0.0289222,-0.00835803,0.0271757,0.999596,starting,
17,0.075757,0.0403795,0.00252253,0.0025,10,-157647,0.772775,-0.634361,-0.0201038,-157647,0,1.07392e-14,-0.772775,0.634361,0.0201038,0.598291,0.800877,0.025381,-0.596785,-0.801511,0.0377866,starting,
18,0.0995862,0.0575804,0.00278306,0.0025,11,-122024,0.426008,0.904708,0.00461742,-122024,-20359.4,6.5401e-16,-0.426008,-0.904708,-0.00461742,-0.89168,0.452565,-0.00958684,-0.0109704,7.56668e-05,0.99994,starting,
20,0.0700147,0.0790481,0.00256489,0.0025,12,-165839,0.986066,-0.163846,0.0287755,-165839,-9731.93,5.72098e-14,-0.986066,0.163846,-0.0287755,-0.197033,-0.965437,-0.170617,0.0544659,0.15731,-0.986046,starting,
22,0.0961047,0.0951143,0.00253722,0.0025,13,-50888.4,0.527302,0.849374,0.0227224,-50888.4,-20614.6,6.77725e-15,-0.527302,-0.849374,-0.0227224,-0.737239,0.671634,-0.0733898,-0.0834516,0.02125,0.996285,starting,
27,0.0459187,0.0724134,0.0029502,0.0025,9,-109588,0.403719,-0.914831,-0.00977897,-109588,-3271.46,-1.74399e-13,-0.403719,0.914831,0.00977897,-0.906057,-0.296526,0.301883,-0.248621,-0.0674006,-0.966253,"16",
