LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
1,0.0467625,0.100908,0.00294966,0.0025,0,-251746,-0.149121,0.988743,0.012224,-123089,-251746,65.6632,-0.999882,0.00617913,-0.014029,-0.149121,0.988743,0.012224,-0.0131076,-0.068185,0.997587,"330",
2,0.0319511,0.11488,0.00272942,0.0025,0,-278273,-0.327577,0.943436,0.0512071,-278273,-580.414,4.93861e-14,-0.327577,0.943436,0.0512071,-0.90206,-0.430109,-0.0359739,0.200031,0.162081,-0.96629,"278",
3,0.0790924,0.0758957,0.00282932,0.0025,0,-245267,-0.195676,-0.979455,-0.048765,-63195.7,-245267,6.54695e-14,-0.999685,-0.0232822,-0.00934094,0.195676,0.979455,0.048765,-0.0106837,-0.0586606,0.998221,"344",
4,0.101801,0.0616556,0.00266065,0.0025,0,-149676,-0.256847,0.965707,-0.0379399,1.88256e-12,-149676,-7.55936e-15,0.934131,0.356654,-0.0140119,0.256847,-0.965707,0.0379399,-0.193404,-0.032516,0.98058,"315",
5,0.0431068,0.0658494,0.00284855,0.0025,0,-379743,-0.769288,-0.63869,-0.0164789,-379743,-18359.2,8.22163e-13,-0.769288,-0.63869,-0.0164789,0.651874,-0.74682,-0.131604,-0.114178,0.181283,-0.97678,"131",
6,0.0450686,0.050435,0.00246356,0.0025,0,-360388,-0.0723258,-0.997299,0.0127697,-143184,-360388,-1972.9,0.997081,0.0755787,0.0108261,0.0723258,0.997299,-0.0127697,0.0738996,-0.0093423,-0.997222,"38,342,229",
7,0.0356874,0.0353181,0.00258641,0.0025,0,-488775,0.620512,-0.783992,0.0179089,-488775,-172365,-2038.54,0.620512,-0.783992,0.0179089,-0.746668,-0.665156,-0.00745096,-0.0130836,0.0112839,0.999851,"141,115",
9,0.0553375,0.0401321,0.00253162,0.0025,0,-363083,0.162089,-0.986735,-0.00895657,-174981,-363083,-184.1,-0.999936,-0.0111818,-0.00170247,0.162089,-0.986735,-0.00895657,0.0425736,0.00756247,-0.999065,"258",
10,0.109003,0.087238,0.00261146,0.0025,0,-468072,-0.431924,0.901883,-0.00691694,-468072,-41048.9,-863.145,-0.431924,0.901883,-0.00691694,0.904983,0.419355,-0.0717398,0.0345668,0.0262743,0.999057,"188",
11,0.0755492,0.0516443,0.002644,0.0025,0,-62124.6,0.389579,-0.920575,-0.0277677,1.34953e-14,-62124.6,-2.65093e-14,0.999999,-0.00125528,-3.78636e-05,0.389579,-0.920575,-0.0277677,0.999381,0.000215937,0.035189,"410",
13,0.0900786,0.117301,0.00284823,0.0025,0,-371486,0.418316,-0.908214,0.0126018,-65028.3,-371486,-241.628,-0.948962,-0.313264,0.0365698,-0.418316,0.908214,-0.0126018,-0.0195537,0.0339379,0.999233,"398,119",
14,0.0758402,0.102577,0.00275869,0.0025,0,-78843.1,0.621002,0.781787,-0.0562625,-5.79165e-12,-78843.1,0,0.83885,-0.542958,0.0390748,-0.621002,-0.781787,0.0562625,-0.0934885,0.0350816,0.995002,"409",
15,0.0984633,0.0789148,0.00259663,0.0025,0,-344457,-0.574797,-0.815763,-0.0643336,-344457,-269440,-114.192,-0.574797,-0.815763,-0.0643336,-0.279251,0.959245,0.0432258,-0.0656211,-0.0695853,0.995415,"317",
16,0.0495303,0.0773189,0.00280564,0.0025,0,-137162,-0.388192,0.921578,-0.00112565,-9.67213e-13,-137162,-8.70706e-16,0.999277,-0.0380315,4.64532e-05,0.388192,-0.921578,0.00112565,0.00152881,0.0413899,0.999142,"27",
17,0.076002,0.0442185,0.00250567,0.0025,0,-170218,0.701227,-0.712879,-0.00923558,-170218,-8400.04,1.51029e-14,0.701227,-0.712879,-0.00923558,-0.642821,-0.763533,0.0616264,0.073036,0.0466901,0.996236,"382",
18,0.0960772,0.0602798,0.0027827,0.0025,0,-120339,0.874411,-0.48511,0.00852621,-120339,-19736,6.37463e-15,0.874411,-0.48511,0.00852621,-0.824268,-0.562455,0.0650206,-0.015406,-0.00126102,0.999881,"308",
19,0.0816369,0.0304069,0.00274453,0.0025,0,-155012,-0.661761,-0.748785,0.0373379,6.1057e-12,-155012,-7.51721e-15,0.740502,-0.67122,0.0334702,-0.661761,-0.748785,0.0373379,-0.0984625,0.139993,0.985245,"166",
20,0.0703857,0.0779943,0.0025199,0.0025,0,-169931,0.969363,-0.245531,0.00711797,-169931,-18286.2,-129.274,-0.969363,0.245531,-0.00711797,-0.205052,-0.978279,-0.0303802,0.0190982,-0.00972196,-0.99977,"61",
21,0.0679013,0.0454846,0.00293289,0.0025,0,-509467,0.997136,0.074128,0.0149796,-509467,-125882,-1177.01,-0.997136,-0.074128,-0.0149796,0.0738264,-0.993125,0.0908388,0.043663,-0.141434,-0.988984,"134,217",
22,0.092728,0.0922304,0.00250414,0.0025,0,-518724,-0.776328,-0.630221,-0.0116995,-518724,-206111,-1000.98,0.776328,0.630221,0.0116995,0.632173,-0.774747,0.0111985,-0.011086,-0.00724021,0.999912,"190,321",
24,0.11272,0.0297851,0.00253117,0.0025,0,-295001,0.939457,0.342658,0.00258787,-295001,-3570.01,-9.87171e-13,-0.939457,-0.342658,-0.00258787,0.263607,-0.946269,-0.187312,-0.0674673,0.261951,-0.96272,"124",
25,0.0988508,0.0444025,0.002506,0.0025,0,-191233,0.980752,-0.195112,-0.00750329,-191233,-172839,2.40036e-13,0.980752,-0.195112,-0.00750329,-0.0257629,0.997939,0.0587742,-0.00565853,0.0388709,-0.999228,"358",
26,0.0506443,0.0215347,0.00297816,0.0025,0,-130585,-0.609565,-0.792385,0.0235918,6.95949e-12,-130585,-3.4782e-14,0.775677,-0.63085,0.0187824,-0.609565,-0.792385,0.0235918,0.00323105,0.0353376,0.99937,"165",
27,0.0493516,0.0726238,0.00300041,0.0025,0,-376953,-0.430952,0.90123,0.0454457,-376953,-4491.27,1.7913e-12,0.430952,-0.90123,-0.0454457,0.674928,0.23135,-0.700677,-0.269142,-0.0296901,-0.962643,"207",
28,0.0723639,0.0876422,0.00271471,0.0025,0,-285141,0.623868,-0.781457,-0.0106431,-285141,-791.971,-3.41102e-12,-0.623868,0.781457,0.0106431,-0.738751,-0.608021,0.290786,-0.426512,-0.352232,-0.833079,"172",
29,0.11152,0.0245462,0.00285868,0.0025,0,-117777,-0.999097,0.0157321,0.0394666,-117777,7.92105e-13,-14052.2,-0.999097,0.0157321,0.0394666,0.0493357,-0.0970269,0.994058,-0.0383644,-0.993074,-0.111054,"334",
30,0.119201,0.0268517,0.00278762,0.0025,0,-129918,-0.69557,-0.718437,0.00557506,-59647.5,-129918,-112.638,-0.892095,0.451781,-0.00778761,0.69557,0.718437,-0.00557506,-0.0738882,0.0156572,0.997144,"329,310",
31,0.0909977,0.0263005,0.00282853,0.0025,0,-346766,0.97853,-0.205509,0.0156805,-346766,-84336.2,73.948,0.97853,-0.205509,0.0156805,-0.28361,-0.958582,0.0262116,-0.0198895,0.00361353,0.999796,"373,225",
33,0.0957735,0.0828876,0.00285031,0.0025,0,-92153.3,-0.500436,0.865241,0.0303635,9.1753e-12,-92153.3,0,0.828481,0.559672,0.0196403,0.500436,-0.865241,-0.0303635,0.0286995,-0.044334,0.998604,"15",
34,0.0549412,0.0971832,0.00291312,0.0025,0,-378841,-0.773322,0.633466,0.0263563,-378841,-232804,-37.2747,-0.773322,0.633466,0.0263563,0.256608,0.965989,-0.0318938,0.0542375,0.0283143,0.998127,"230",
35,0.0653868,0.0210041,0.00250213,0.0025,1,-101555,0.926833,0.365716,0.0850427,-101555,3.34823e-13,-1.35022e-13,-0.926833,-0.365716,-0.0850427,0.060809,0.97221,0.226075,-0.116266,-0.9519,0.283494,starting,
36,0.12374,0.024794,0.00277825,0.0025,0,-89838.8,-0.311111,-0.950164,-0.0199469,-22750.7,-89838.8,-21.1581,-0.890653,0.452317,-0.0463224,0.311111,0.950164,0.0199469,-0.0783863,0.00858157,0.996886,"30",
37,0.0372604,0.0581157,0.00279203,0.0025,0,-242170,-0.302031,0.952963,-0.0252701,3.17977e-12,-242170,-1.12825e-14,0.984586,0.174839,-0.00463628,0.302031,-0.952963,0.0252701,0.0400324,0.0301012,0.998745,"212",
38,0.0423867,0.0544248,0.00255892,0.0025,0,-540060,-0.981452,-0.19048,-0.0216661,-540060,-391705,-3062.43,0.981452,0.19048,0.0216661,-0.148261,0.988934,0.00537471,0.0288748,-0.00239816,-0.99958,"182,229",
39,0.0523962,0.084019,0.00273382,0.0025,0,-203791,0.994457,0.103439,-0.0188794,-203791,-31419.8,9.70685,-0.994457,-0.103439,0.0188794,0.0586708,-0.99576,-0.0708444,-0.0267737,0.0249123,-0.999331,"246,298",
40,0.0887497,0.0727047,0.0025042,0.0025,0,-172863,0.417942,0.907201,-0.0480844,2.23411e-12,-172863,2.11875e-14,0.988333,-0.152095,0.00806149,-0.417942,-0.907201,0.0480844,0.156347,0.0260929,0.987358,"405",
41,0.0401753,0.0832854,0.00271421,0.0025,0,-238101,0.559902,0.828526,0.00732994,-238101,-4288.89,-2.46884e-13,0.559902,0.828526,0.00732994,-0.785812,0.567399,-0.246085,0.231625,-0.15438,-0.960477,"45",
42,0.0363622,0.106721,0.00249797,0.0025,0,-315936,-0.669069,0.743164,-0.00734553,-315936,-50813.4,2.03168e-13,0.669069,-0.743164,0.00734553,-0.722474,-0.690526,-0.0347201,-0.0719004,-0.0386676,0.996662,"138",
43,0.048492,0.121995,0.00257651,0.0025,2,-159672,0.869983,0.492896,0.0135493,-159672,-5.05647e-12,0,-0.869983,-0.492896,-0.0135493,-0.679564,0.733339,0.0201589,-0.0162669,-0.00832018,0.999833,starting,
45,0.0378543,0.0792157,0.00280862,0.0025,0,-325097,0.0713514,0.997425,-0.00722986,-51017.1,-325097,5.8934e-14,0.995668,0.0868201,-0.0332684,-0.0713514,-0.997425,0.00722986,0.0165128,0.0137755,0.999769,"404",
46,0.0322761,0.0750691,0.00270255,0.0025,0,-242384,-0.807066,0.590236,0.0162944,-242384,0,3.59824e-14,-0.807066,0.590236,0.0162944,0.652732,0.7573,0.0209065,-0.651722,-0.758332,0.0138293,"320",
49,0.0560097,0.0291503,0.00287537,0.0025,0,-373.911,0.0154708,0.0495104,0.998654,0,0,-373.911,0,0,0,0,0,0,0.0154708,0.0495104,0.998654,"103",
50,0.0647984,0.0568778,0.00267835,0.0025,0,-87870.6,-0.340615,0.940202,0.0013533,-2.52734e-12,-87870.6,2.74233e-16,0.97317,0.230089,0.000331184,0.340615,-0.940202,-0.0013533,-0.0905085,-0.0079733,0.995864,"349",
51,0.0459342,0.0459387,0.00287431,0.0025,0,-194284,0.420452,-0.905523,0.0569956,-194284,-8225.04,6.15871e-13,0.420452,-0.905523,0.0569956,-0.961637,-0.228127,0.152359,0.177334,0.123335,0.976392,"6",
52,0.0812408,0.118051,0.00257771,0.0025,0,-462067,0.772582,-0.634812,0.0114153,-462067,-217947,-40.9871,0.772582,-0.634812,0.0114153,-0.638769,-0.768876,0.0283613,0.0153962,0.0533249,0.998459,"348",
53,0.0957893,0.0517327,0.00296609,0.0025,0,-217914,0.021774,-0.999763,-0.000445508,-17576,-217914,7.85342e-14,0.963365,0.20401,0.174092,0.021774,-0.999763,-0.000445508,-0.188575,-0.0423114,0.981147,"308",
55,0.0252395,0.0792428,0.00251671,0.0025,0,-544549,-0.484739,-0.874466,0.0183554,-260030,-544549,-1794.53,-0.844302,0.534977,-0.030879,0.484739,0.874466,-0.0183554,-0.0430505,0.0386806,0.998324,"106",
56,0.0650956,0.0848906,0.00276656,0.0025,0,-275415,0.489051,-0.871735,-0.0301334,-275415,-2895.4,7.15928e-15,0.489051,-0.871735,-0.0301334,-0.919564,-0.392656,0.0149389,0.00330377,-0.0289067,0.999577,"388",
57,0.0466807,0.0962964,0.00236801,0.0025,0,-334631,0.506637,-0.861052,0.0436814,-334631,-30385.5,-660.703,0.506637,-0.861052,0.0436814,-0.909033,-0.370714,-0.19034,-0.258039,-0.08845,0.962077,"1",
58,0.107513,0.039038,0.00280421,0.0025,0,-289916,-0.694599,0.719038,0.0227426,-289916,-146940,259.968,0.694599,-0.719038,-0.0227426,-0.699498,-0.714583,0.00853232,0.0509509,0.0249481,0.99839,"264",
59,0.0588328,0.121514,0.00250217,0.0025,3,-217801,0.990334,0.138703,-0.000940866,-217801,-20262.1,4.48258e-14,-0.990334,-0.138703,0.000940866,0.194521,-0.978203,-0.0726645,-0.0106276,0.0698212,-0.997503,starting,
60,0.101057,0.104083,0.0025172,0.0025,0,-312475,0.476697,0.879043,-0.00660522,-312475,-59117.8,-2.32887e-14,-0.476697,-0.879043,0.00660522,-0.894257,0.441406,-0.0739334,-0.018896,0.0283452,0.99942,"381",
61,0.0661272,0.0801373,0.00262569,0.0025,0,-270382,-0.936388,-0.350619,0.0156292,-270382,-126416,-56.3776,0.936388,0.350619,-0.0156292,0.683256,-0.730136,-0.00788984,0.0400498,-0.00320116,0.999193,"270,56",
62,0.081975,0.103691,0.00297843,0.0025,0,-254609,0.194705,0.980814,-0.00973761,-254609,-2.06435e-12,-900.929,0.194705,0.980814,-0.00973761,0.548184,-0.162506,-0.820418,0.0728219,-0.0199678,0.997145,"69",
63,0.120702,0.0385216,0.0026769,0.0025,0,-441384,0.99513,0.0979807,0.0107384,-441384,-137944,-85.9232,-0.99513,-0.0979807,-0.0107384,0.16526,-0.98624,0.00448781,0.00776598,-0.0109448,-0.99991,"354,367",
64,0.0594416,0.0493135,0.00280545,0.0025,0,-280229,0.491025,0.870791,-0.0248724,-24379,-280229,1.94796,0.983929,-0.156892,0.0852529,-0.491025,-0.870791,0.0248724,0.0864528,0.0196355,0.996062,"72",
66,0.121144,0.033631,0.00248401,0.0025,0,-487452,0.555857,-0.831151,-0.0145124,-487452,-171972,-384.32,0.555857,-0.831151,-0.0145124,-0.627806,-0.778083,0.0211191,0.0615144,0.0211799,0.997881,"310,234,63",
67,0.0300695,0.118938,0.00302058,0.0025,0,-227404,-0.294073,0.954354,0.0522476,9.63157e-12,-227404,2.4695e-13,0.907608,0.41919,0.0229492,0.294073,-0.954354,-0.0522476,0.209846,0.0271756,0.977357,"2",
68,0.0708545,0.0254581,0.00287867,0.0025,1,-322772,-0.930866,0.361253,0.0546312,-322772,-35443.3,-453.636,0.930866,-0.361253,-0.0546312,-0.427838,-0.902183,-0.0549556,-0.0859458,2.08059e-06,-0.9963,"306",
69,0.0803158,0.099312,0.00273717,0.0025,0,-311164,-0.733753,-0.67941,-0.00305068,-311164,-207736,-454.147,0.733753,0.67941,0.00305068,0.612102,-0.790779,3.20139e-05,-0.00644741,-0.00707592,0.999954,"112",
70,0.0476836,0.0393775,0.0026421,0.0025,0,-466985,-0.644956,-0.763065,0.0420001,-466985,-10625.2,-209.777,0.644956,0.763065,-0.0420001,0.837983,-0.545058,-0.0263843,0.0739515,0.0244605,0.996962,"403,223",
71,0.0676514,0.039655,0.00268675,0.0025,0,-162314,0.88298,0.465683,-0.0590369,-162314,1.71039e-13,-27245.2,0.88298,0.465683,-0.0590369,0.0485043,0.0403227,0.998009,-0.473082,0.880592,-0.0273869,"301",
72,0.0588431,0.0450123,0.0029419,0.0025,0,-318156,0.654623,0.755854,-0.0123764,-80932.3,-318156,-2.88478e-13,-0.943358,0.326791,-0.0572905,0.654623,0.755854,-0.0123764,-0.0550677,0.0393135,0.997708,"258",
73,0.0794957,0.0817497,0.00248271,0.0025,0,-303190,0.98771,0.156255,0.00374853,-303190,-19075.8,-5.76604e-14,-0.98771,-0.156255,-0.00374853,0.191641,-0.977685,-0.0860568,-0.0180804,0.12492,-0.992002,"157",
75,0.117435,0.043919,0.00255592,0.0025,0,-437946,0.345108,0.93851,0.00996286,-437946,0,0,0.345108,0.93851,0.00996286,0,0,0,0,0,0,"367",
76,0.109622,0.123468,0.00295431,0.0025,4,-296951,-0.993948,-0.105103,0.0319359,-296951,240.451,1.83879e-14,0.993948,0.105103,-0.0319359,0.0994414,-0.949361,-0.298036,0.0856703,-0.446397,0.890724,starting,
77,0.120447,0.0564897,0.00274762,0.0025,5,-142756,0.603091,0.797374,0.021843,5.78162e-12,-142756,-2.22874e-15,0.728179,-0.68513,-0.0187682,-0.603091,-0.797374,-0.021843,-0.0911764,0.050309,0.994563,starting,
79,0.0573646,0.0744749,0.0029143,0.0025,0,-516236,-0.31194,-0.950079,0.00650553,-136035,-516236,-1051.45,-0.955355,0.29279,0.0396277,0.31194,0.950079,-0.00650553,0.0396569,0.0233155,0.998941,"221,143",
80,0.0756127,0.124829,0.00250431,0.0025,0,-174387,-0.673542,0.738827,-0.0217873,-5.74025e-12,-174387,-1.06452e-14,0.712623,0.701242,-0.0206789,0.673542,-0.738827,0.0217873,0.0100009,0.0122496,0.999875,"348",
81,0.0437836,0.112978,0.00274662,0.0025,2,-107281,0.999033,-0.0438011,-0.00379164,-107281,0,7.27728e-16,-0.999033,0.0438011,0.00379164,-0.107676,0.990482,0.0857411,-0.106538,0.983412,0.146802,"319",
84,0.0659611,0.108243,0.0024826,0.0025,0,-156070,-0.669326,0.738711,-0.0794288,-2.30863e-11,-156070,1.43463e-13,0.6943,0.715561,-0.0769397,0.669326,-0.738711,0.0794288,-0.111415,0.0219235,0.993532,"374",
85,0.101211,0.0483591,0.00264655,0.0025,0,-496890,-0.120278,-0.992584,-0.0176322,-120942,-496890,-71.6076,0.994241,-0.0745908,0.0769438,0.120278,0.992584,0.0176322,0.109256,0.000216083,-0.994014,"25,152",
86,0.116429,0.0921126,0.00254228,0.0025,0,-333029,0.998987,0.0329193,0.0306818,-333029,-19719.4,-6.95872e-13,-0.998987,-0.0329193,-0.0306818,0.182044,-0.978857,-0.0932679,0.00865155,0.289831,-0.957039,"237",
87,0.112703,0.0644446,0.00290175,0.0025,0,-41156.1,0.714215,-0.699895,-0.00663273,7.48372e-13,-41156.1,-1.17404e-15,0.877446,0.479654,0.00454557,0.714215,-0.699895,-0.00663273,-0.00988403,0.00860519,0.999914,"372",
88,0.059495,0.0562658,0.00262222,0.0025,0,-233810,0.761205,0.647961,0.0267257,-233810,-108329,-378.012,0.761205,0.647961,0.0267257,0.00514966,-0.999555,-0.0293694,-0.0361279,-0.00770842,0.999317,"325",
91,0.114443,0.082033,0.00285289,0.0025,0,-215448,0.991136,-0.132449,-0.0103541,-215448,4149.48,8.18046e-14,-0.991136,0.132449,0.0103541,0.0653221,0.983563,0.168336,0.0549348,0.231848,0.9712,"175",
93,0.0325251,0.0521743,0.00293895,0.0025,0,-463760,-0.100142,0.994518,0.0301042,-114231,-463760,-102.948,0.995586,0.0861137,0.0373115,-0.100142,0.994518,0.0301042,0.0336873,0.0430461,-0.998505,"353",
94,0.0807651,0.0426189,0.00272431,0.0025,0,-95013.5,0.726816,0.686831,0.00109811,-95013.5,-3.92759e-12,3.1331e-16,-0.726816,-0.686831,-0.00109811,-0.666428,0.745569,0.00119202,0.00369111,-0.0293953,0.999561,"206",
95,0.0498743,0.0492647,0.00253779,0.0025,0,-225384,0.99136,-0.115442,0.0622781,-225384,-8.78719e-13,-388.079,-0.99136,0.115442,-0.0622781,0.202897,0.797099,-0.568741,0.131467,0.917331,0.375792,"6",
96,0.0703661,0.0507786,0.00247106,0.0025,0,-451729,-0.217393,0.975967,0.0151343,-234891,-451729,-617.12,0.977661,0.208335,0.0278628,-0.217393,0.975967,0.0151343,0.0472305,0.022559,-0.998629,"382",
97,0.0227068,0.0874452,0.0029241,0.0025,0,-763171,0.395911,-0.918029,0.0218243,-763171,-6.38558e-11,-1546.53,-0.395911,0.918029,-0.0218243,0.863621,0.422432,-0.275156,-0.0834668,-0.0102168,0.996458,"262",
98,0.0871999,0.0231814,0.00286859,0.0025,0,-372895,-0.99601,0.0837978,0.0306918,-372895,-211862,-564.002,0.99601,-0.0837978,-0.0306918,-0.192013,0.981076,0.024919,-0.027023,0.00883451,-0.999596,"31",
99,0.0447524,0.0756911,0.002816,0.0025,0,-236568,-0.00119948,0.999962,0.00869209,-33357,-236568,3.09795e-15,-0.99928,-0.0379016,-0.00177752,0.00119948,-0.999962,-0.00869209,0.00744947,0.00901123,-0.999932,"390",
100,0.0858892,0.0793768,0.00259227,0.0025,0,-239.177,0.0532097,0.000923964,-0.998583,0,0,-239.177,0,0,0,0,0,0,-0.0532097,-0.000923964,0.998583,"210,287",
102,0.108487,0.0436768,0.00246456,0.0025,0,-579187,0.699819,-0.71176,-0.0604262,-579187,-231968,-1297.36,0.699819,-0.71176,-0.0604262,-0.782928,-0.622078,-0.00651737,0.0809922,-0.0346282,0.996113,"58,176",
103,0.05331,0.0323697,0.00272507,0.0025,0,-427467,0.536426,-0.843603,0.0240978,-427467,-95169.8,-49.6907,0.536426,-0.843603,0.0240978,-0.793,-0.607778,0.041911,0.0197799,0.0553812,0.998269,"156,223",
104,0.0563386,0.103074,0.00288851,0.0025,0,-178533,0.582987,-0.810955,-0.0497848,-178533,-87323,1.60121e-13,0.582987,-0.810955,-0.0497848,-0.705378,-0.708745,-0.0110877,0.0334159,-0.0489234,0.998243,"292",
105,0.104876,0.122072,0.00271116,0.0025,4,-22644,-0.997285,-0.0566719,0.0470277,-22644,7.72442e-14,3.21814e-14,-0.997285,-0.0566719,0.0470277,-0.190109,0.755514,-0.626943,-0.218609,0.610635,0.76114,"76",
106,0.0245237,0.0836332,0.00277438,0.0025,0,-548347,0.291845,-0.956401,-0.0111526,-548347,-10257.1,-3.44816e-13,-0.291845,0.956401,0.0111526,0.94079,0.322403,-0.104739,-0.0616439,-0.06849,0.995746,"97",
108,0.07606,0.0671776,0.00249464,0.0025,0,-251967,-0.62993,-0.776633,-0.0055055,-251967,-2186.15,4.50412e-14,-0.62993,-0.776633,-0.0055055,0.755623,-0.646828,-0.10319,-0.0121793,0.0229162,-0.999663,"290",
109,0.0915451,0.0381292,0.00292102,0.0025,0,-102145,0.993404,-0.106461,0.0425973,-102145,-56438.9,-3.85608e-13,0.993404,-0.106461,0.0425973,-0.591156,0.80563,-0.0386711,0.0901381,-0.034162,-0.995343,"362",
112,0.0845598,0.0978137,0.00282704,0.0025,0,-441560,-0.991878,0.125806,0.018744,-441560,-162452,-650.078,-0.991878,0.125806,0.018744,-0.0505718,-0.998568,-0.0174747,-0.0197064,0.032921,-0.999264,"168",
113,0.0862456,0.050046,0.00308172,0.0025,0,-388067,-0.415189,-0.908669,-0.044029,-128028,-388067,-2175.73,-0.906051,0.423167,-0.00141571,0.415189,0.908669,0.044029,0.0349926,-0.0803801,0.99615,"213",
114,0.0920668,0.113059,0.00266473,0.0025,0,-143497,0.457434,-0.889243,-0.00106549,2.40674e-12,-143497,1.56688e-15,0.905487,0.424374,0.000508486,0.457434,-0.889243,-0.00106549,0.0481963,-0.0206091,0.998625,"13",
115,0.033022,0.0391132,0.00264887,0.0025,0,-616580,-0.999073,0.0403373,0.0150391,-616580,-174165,-1393.94,-0.999073,0.0403373,0.0150391,0.0112133,-0.999742,-0.0197525,-0.0178309,-0.0396875,-0.999053,"339,387",
116,0.0804238,0.0481686,0.00265499,0.0025,0,-212717,-0.944704,0.327922,0.00116633,-212717,9.46694e-12,3.60019e-15,-0.944704,0.327922,0.00116633,0.456982,0.88947,0.0031636,0.0980086,0.101126,0.990034,"311",
117,0.027618,0.0608562,0.00248144,0.0025,0,-70935,-0.993627,0.107514,-0.0338584,-70935,6.04315e-13,7.53218e-15,-0.993627,0.107514,-0.0338584,0.101961,0.948849,-0.298812,0.00183034,0.281783,0.959476,"180",
