LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
1,0.0436513,0.10349,0.00289461,0.0025,0,-182325,0.425732,-0.904742,0.0139065,-182325,-50175.2,-6.26525e-13,-0.425732,0.904742,-0.0139065,0.612379,0.787843,0.0655342,-0.105262,-0.094632,0.989932,starting,
5,0.0402457,0.0648659,0.00281571,0.0025,1,-259632,-0.778809,-0.627186,0.00968292,-259632,-14773.2,-1.16697e-14,0.778809,0.627186,-0.00968292,0.50423,-0.862949,-0.0327394,0.108071,-0.161751,0.980896,starting,
6,0.0415081,0.0483775,0.00251073,0.0025,1,-167064,0.918907,0.388282,-0.0696258,-167064,-51948.3,5.66925e-14,0.918907,0.388282,-0.0696258,-0.333802,0.942353,0.0234037,-0.0966321,-0.0227773,-0.99506,"38",
7,0.031972,0.0314311,0.0025951,0.0025,2,-2596.99,0.849941,-0.524711,0.047738,-2596.99,-9.26115e-14,1.0785e-15,-0.849941,0.524711,-0.047738,0.462138,0.883161,-0.0803496,-0.0641078,0.00264816,0.997939,starting,
9,0.0534501,0.0364612,0.00257631,0.0025,3,-273863,-0.707311,-0.706791,-0.0125998,-273863,-193920,-90.2106,0.707311,0.706791,0.0125998,0.763596,-0.644763,0.034679,-0.0402266,0.0332271,0.998638,starting,
10,0.112801,0.0882913,0.00263517,0.0025,4,-181946,-0.320902,0.94602,-0.0454824,4.05213e-12,-181946,3.89196e-14,0.968245,0.249715,-0.0120057,0.320902,-0.94602,0.0454824,-0.0977363,0.031692,0.994708,starting,
11,0.0757892,0.0499842,0.00263224,0.0025,3,-125915,0.0251658,-0.999378,0.0247042,-2.38627e-14,-125915,7.93432e-15,0.999846,0.0175485,-0.000433791,0.0251658,-0.999378,0.0247042,-0.386453,0.0202334,0.922087,"410",
12,0.0158826,0.0543922,0.00270611,0.0025,5,-42826.2,0.500267,0.865851,-0.00584714,-3.09136e-12,-42826.2,1.717e-16,0.917961,-0.39666,0.00267867,-0.500267,-0.865851,0.00584714,0.00293013,-0.000951156,0.999995,starting,
13,0.0917461,0.121832,0.0028022,0.0025,6,-331813,-0.392625,0.919698,-0.000454354,-331813,-35847.3,-272.966,-0.392625,0.919698,-0.000454354,0.927918,0.371692,-0.0285274,0.0469277,0.0167173,0.998758,"119",
14,0.0758315,0.105161,0.00275531,0.0025,0,-114589,0.545338,0.838183,0.00743544,1.35633e-12,-114589,9.1604e-16,0.813348,-0.581755,-0.00516069,-0.545338,-0.838183,-0.00743544,0.149334,-0.122961,0.981112,"409",
16,0.0465662,0.0771461,0.00281228,0.0025,7,-154665,-0.500317,-0.865719,0.0145906,-154665,-126886,-3.93174e-15,0.500317,0.865719,-0.0145906,0.0300849,-0.999248,0.0244802,-0.00795422,0.0291218,0.999544,starting,
17,0.0757361,0.0417449,0.00251988,0.0025,3,-216497,0.771252,-0.636184,-0.0209824,-216497,4.6137e-11,3.01838e-14,-0.771252,0.636184,0.0209824,0.58644,0.809552,0.0267004,0.0141234,-0.0280932,0.999506,"382",
18,0.0984568,0.0583907,0.00278357,0.0025,8,-132012,0.443498,-0.89626,0.00526848,-84391.4,-132012,-4.56619e-12,-0.999528,0.0289282,-0.010318,-0.443498,0.89626,-0.00526848,-0.0117034,-2.23562e-05,0.999932,starting,
20,0.0700234,0.0787371,0.00255112,0.0025,9,-221743,0.944183,-0.329422,-1.59417e-05,-221743,-1900.58,4.47884e-14,-0.944183,0.329422,1.59417e-05,-0.361102,-0.896043,-0.258287,0.0566873,0.163475,-0.984917,starting,
21,0.0674127,0.0427181,0.0029201,0.0025,3,-16113.4,-0.908635,-0.413161,0.0606594,-16113.4,6.96781e-13,6.962e-15,-0.908635,-0.413161,0.0606594,-0.340503,0.930271,-0.13658,0.055166,0.00974689,0.99843,"382",
22,0.0950521,0.0941373,0.00253478,0.0025,10,-170531,0.448463,0.89369,0.0140832,-80443.2,-170531,-8.64753e-14,0.84158,-0.534223,0.0796773,-0.448463,-0.89369,-0.0140832,-0.0892978,0.0216965,0.995769,starting,
27,0.047113,0.0724295,0.00295405,0.0025,7,-313411,0.475507,-0.879062,-0.0338126,-313411,-7161.38,-4.05429e-12,0.475507,-0.879062,-0.0338126,0.847911,0.342887,-0.40432,-0.259685,-0.0590776,-0.963885,"16",
30,0.124367,0.0220051,0.00275528,0.0025,8,-279910,-0.725211,-0.688467,0.00908865,-279910,-85985.3,-238.424,0.725211,0.688467,-0.00908865,0.578452,-0.8154,0.0227071,0.0174159,-0.00437101,0.999839,"310",
31,0.0934487,0.0217889,0.00284262,0.0025,8,-214964,0.981974,-0.187756,0.0218075,-214964,-123444,8.79571e-13,0.981974,-0.187756,0.0218075,0.337516,0.94122,0.0136994,0.0424403,0.00712195,-0.999074,"32",
32,0.0938929,0.0264982,0.00289506,0.0025,8,-125272,-0.0520228,-0.99863,-0.00563543,-116718,-125272,1.63883e-11,0.494562,-0.86815,-0.0415201,-0.0520228,-0.99863,-0.00563543,0.0676045,-0.017485,0.997559,"305",
34,0.0530527,0.100273,0.00289709,0.0025,0,-265722,0.854659,-0.518677,-0.0230677,-265722,-93136.3,-1.57226e-13,0.854659,-0.518677,-0.0230677,-0.376019,-0.925565,0.04403,0.0463217,0.0345128,0.99833,"292",
35,0.0649901,0.0158171,0.00253272,0.0025,11,-146395,0.945444,0.316062,0.0790009,-146395,-0,-2.43291e-13,-0.945444,-0.316062,-0.0790009,-0.0367626,0.969497,0.24233,0.0260402,-0.991257,-0.129351,starting,
36,0.128714,0.0199702,0.00277295,0.0025,8,-94563.2,0.890089,-0.455305,0.0209749,-94563.2,7.53879e-12,-5.05733e-15,-0.890089,0.455305,-0.0209749,0.423734,0.904827,-0.0416835,0.00666319,0.0229151,0.999715,"30",
37,0.0337649,0.0560329,0.00280175,0.0025,1,-207008,-0.280119,0.959825,-0.0163841,-4.02501e-12,-207008,-9.69119e-16,0.97217,0.234244,-0.00399852,0.280119,-0.959825,0.0163841,-0.000585685,0.0157295,0.999876,"212",
38,0.0395446,0.0528575,0.00259886,0.0025,1,-356084,0.0155737,0.999837,0.00915804,-185426,-356084,-637.526,-0.99156,0.126402,-0.0288348,-0.0155737,-0.999837,-0.00915804,0.0473008,0.0116314,-0.998813,"182,212",
39,0.0504979,0.0854941,0.00273455,0.0025,0,-45918.3,-0.627442,-0.778663,-7.71539e-05,2.01383e-13,-45918.3,3.89728e-20,0.810582,-0.585625,-5.80267e-05,-0.627442,-0.778663,-7.71539e-05,0.0079955,-0.00409381,0.99996,"126",
42,0.0330032,0.110208,0.00252163,0.0025,0,-119788,-0.997853,0.0233939,-0.0611765,-119788,-3.09699e-13,5.68187e-15,-0.997853,0.0233939,-0.0611765,0.0652424,0.356415,-0.932047,-0.0290218,0.676753,0.735638,"138",
46,0.0283336,0.0751113,0.00269946,0.0025,7,-77623.1,-0.809135,0.58757,0.00782045,-77623.1,-2.17746e-12,-2.62779e-15,-0.809135,0.58757,0.00782045,0.637673,0.770239,0.0102517,0.0883425,0.0649869,0.993968,"320",
47,0.0169387,0.0203056,0.00253545,0.0025,3,-156578,-0.959429,0.278198,-0.0458416,-156578,-5.78308e-12,1.5431e-13,-0.959429,0.278198,-0.0458416,0.441906,0.885125,-0.145851,0.0146799,0.117092,0.993013,"335",
49,0.0543661,0.0246133,0.00284755,0.0025,3,-260730,-0.769233,-0.638122,0.032871,-260730,-26114.5,3.79855e-13,0.769233,0.638122,-0.032871,0.623742,-0.774376,-0.106247,0.0903032,-0.0590263,0.994164,"273",
52,0.0821582,0.122409,0.00260739,0.0025,6,-129118,0.351817,-0.934001,0.0621899,-129118,-4742.64,3.44436e-13,-0.351817,0.934001,-0.0621899,0.924248,0.361069,-0.124073,0.172685,0.135631,0.975594,"348",
53,0.0979954,0.0499342,0.00295156,0.0025,8,-146234,0.307103,-0.950922,0.0378801,-7.10646e-12,-146234,-4.7855e-14,0.917154,0.398218,-0.015863,0.307103,-0.950922,0.0378801,-0.0957462,0.0036808,0.995399,"308",
55,0.0201892,0.0799207,0.00262221,0.0025,12,-537933,-0.263518,-0.964158,0.0309382,-148978,-537933,-1456.41,-0.960315,0.278445,0.0162565,0.263518,0.964158,-0.0309382,0.00268462,0.0364872,0.999331,starting,
57,0.0438779,0.0986971,0.00246053,0.0025,0,-262077,0.632404,-0.772567,0.0566198,-262077,-105716,-1103.98,-0.632404,0.772567,-0.0566198,0.852059,0.522218,0.03583,-0.0593312,0.0396181,0.997452,"1",
58,0.111235,0.0358783,0.00277319,0.0025,8,-212470,-0.298397,-0.953808,0.0347723,-212470,-335.452,2.16612e-12,0.298397,0.953808,-0.0347723,0.760388,-0.162207,0.628887,-0.194377,0.00166662,-0.980925,"102",
60,0.103995,0.106988,0.00252778,0.0025,10,-116480,-0.160785,0.986431,-0.0332055,-1.54111e-12,-116480,2.96395e-14,0.959635,0.28109,-0.00946213,0.160785,-0.986431,0.0332055,0.0543309,0.0489295,0.997323,"381",
61,0.0658896,0.0806176,0.00262532,0.0025,9,-203937,-0.938921,0.344108,0.00419146,-203937,9.1098e-12,-9.23226e-16,-0.938921,0.344108,0.00419146,0.414216,0.910111,0.0110857,0.00372086,-0.0312587,0.999504,"20",
63,0.125655,0.0351182,0.00268208,0.0025,8,-144571,0.901986,0.431491,0.015386,-144571,-285.2,4.07717e-13,-0.901986,-0.431491,-0.015386,0.427759,-0.834879,0.34641,0.0629669,-0.0911648,-0.993843,"234",
64,0.0582888,0.0470543,0.00277816,0.0025,3,-236837,0.972929,-0.229903,-0.0235433,-236837,-4946.59,6.02158e-14,-0.972929,0.229903,0.0235433,-0.479984,-0.876908,-0.0254527,-0.11844,-0.161568,-0.979728,"325",
66,0.126276,0.0295788,0.0025141,0.0025,8,-117952,-0.141778,-0.989898,-0.000234319,-28665.1,-117952,-9.91358e-14,0.976491,0.204124,0.0692687,-0.141778,-0.989898,-0.000234319,-0.0587347,-0.00305113,0.998269,"376",
67,0.0262765,0.124121,0.00298462,0.0025,13,-145170,0.766402,0.640487,-0.0490217,-145170,-0,9.44056e-14,-0.766402,-0.640487,0.0490217,-0.75976,0.648308,-0.0496203,-0.728178,0.637759,0.251039,starting,
68,0.0704133,0.0206349,0.00286157,0.0025,11,-203120,0.977923,0.20844,0.0148009,-203120,-155951,-1.54321,0.977923,0.20844,0.0148009,0.35063,-0.935726,0.0384157,-0.0233042,0.0348933,0.999119,"306",
69,0.0813346,0.101918,0.00274044,0.0025,10,-99314.3,-0.95708,0.289674,-0.0093007,-99314.3,-1.19961e-12,-6.71415e-17,-0.95708,0.289674,-0.0093007,0.312481,0.949435,-0.030484,-0.00827917,0.0175447,0.999812,"112",
70,0.0452191,0.0360275,0.00266738,0.0025,3,-393649,-0.633078,-0.772667,0.0468776,-393649,1.57524e-12,-380.849,-0.633078,-0.772667,0.0468776,-0.684039,0.560994,0.466236,0.672389,-0.485227,0.558971,"403",
72,0.056835,0.0419458,0.00291291,0.0025,3,-140211,0.894565,0.444791,0.0437619,-140211,-1.59244e-12,-2.17876e-14,-0.894565,-0.444791,-0.0437619,-0.183154,0.97836,0.0962585,-0.111678,0.404438,0.907721,"258",
73,0.0795805,0.0828691,0.00251138,0.0025,14,-203645,0.937065,-0.345896,-0.0476021,-203645,0,-1.48696e-13,-0.937065,0.345896,0.0476021,0.428676,0.895023,0.123173,-0.426928,-0.903408,-0.039833,starting,
74,0.101287,0.125463,0.00245884,0.0025,15,-132234,-0.967148,-0.247739,0.0570106,-132234,-47260.2,-4.1204e-13,0.967148,0.247739,-0.0570106,0.133554,0.990035,-0.0446563,-0.0851519,-0.0745944,-0.993572,starting,
75,0.122224,0.0409484,0.00258815,0.0025,8,-217156,0.46896,0.882612,0.0327493,-57633.5,-217156,-364.382,-0.929576,0.368004,0.0215004,0.46896,0.882612,0.0327493,0.025846,-0.0417923,0.998792,"367",
76,0.113187,0.128535,0.00293095,0.0025,16,-145843,0.976272,0.215978,0.0157274,-145843,-1099.75,3.47849e-14,-0.976272,-0.215978,-0.0157274,0.194384,-0.892517,-0.406974,-0.0730112,0.395028,-0.915763,starting,
77,0.125377,0.0548933,0.00275027,0.0025,17,-25351.8,0.663556,0.747786,0.0225543,6.25214e-13,-25351.8,-1.53169e-15,0.745883,-0.665775,-0.0200807,-0.663556,-0.747786,-0.0225543,-0.0405194,0.00581589,0.999162,starting,
80,0.0760288,0.129856,0.00250832,0.0025,6,-107052,-0.452216,0.89183,-0.011844,-1.98589e-12,-107052,0,0.714823,0.699244,-0.00928636,0.452216,-0.89183,0.011844,-0.00320573,0.00632392,0.999975,"348",
