LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
2,0.0319511,0.11488,0.00272942,0.0025,0,-278273,0.327577,-0.943436,-0.0512071,-278273,-580.414,4.93861e-14,-0.327577,0.943436,0.0512071,-0.90206,-0.430109,-0.0359739,0.200031,0.162081,-0.96629,starting,
3,0.0790924,0.0758957,0.00282932,0.0025,1,-245267,-0.195676,-0.979455,-0.048765,-63195.7,-245267,6.54695e-14,-0.999685,-0.0232822,-0.00934094,0.195676,0.979455,0.048765,-0.0106837,-0.0586606,0.998221,starting,
19,0.0816369,0.0304069,0.00274453,0.0025,2,-155012,0.661761,0.748785,-0.0373379,6.1057e-12,-155012,-7.51721e-15,0.740502,-0.67122,0.0334702,-0.661761,-0.748785,0.0373379,-0.0984625,0.139993,0.985245,starting,
22,0.092728,0.0922304,0.00250414,0.0025,3,-518724,-0.776328,-0.630221,-0.0116995,-518724,-206111,-1000.98,0.776328,0.630221,0.0116995,0.632173,-0.774747,0.0111985,-0.011086,-0.00724021,0.999912,starting,
28,0.0723639,0.0876422,0.00271471,0.0025,4,-285141,0.623868,-0.781457,-0.0106431,-285141,-791.971,-3.41102e-12,-0.623868,0.781457,0.0106431,-0.738751,-0.608021,0.290786,-0.426512,-0.352232,-0.833079,starting,
31,0.0909977,0.0263005,0.00282853,0.0025,5,-346766,-0.97853,0.205509,-0.0156805,-346766,-84336.2,73.948,0.97853,-0.205509,0.0156805,-0.28361,-0.958582,0.0262116,-0.0198895,0.00361353,0.999796,starting,
34,0.0549412,0.0971832,0.00291312,0.0025,6,-378841,0.773322,-0.633466,-0.0263563,-378841,-232804,-37.2747,-0.773322,0.633466,0.0263563,0.256608,0.965989,-0.0318938,0.0542375,0.0283143,0.998127,starting,
38,0.0423867,0.0544248,0.00255892,0.0025,7,-540060,-0.981452,-0.19048,-0.0216661,-540060,-391705,-3062.43,0.981452,0.19048,0.0216661,-0.148261,0.988934,0.00537471,0.0288748,-0.00239816,-0.99958,starting,
40,0.0887497,0.0727047,0.0025042,0.0025,8,-172863,0.417942,0.907201,-0.0480844,2.23411e-12,-172863,2.11875e-14,0.988333,-0.152095,0.00806149,-0.417942,-0.907201,0.0480844,0.156347,0.0260929,0.987358,starting,
42,0.0363622,0.106721,0.00249797,0.0025,0,-315936,0.669069,-0.743164,0.00734553,-315936,-50813.4,2.03168e-13,0.669069,-0.743164,0.00734553,-0.722474,-0.690526,-0.0347201,-0.0719004,-0.0386676,0.996662,"278",
55,0.0252395,0.0792428,0.00251671,0.0025,9,-544549,-0.484739,-0.874466,0.0183554,-260030,-544549,-1794.53,-0.844302,0.534977,-0.030879,0.484739,0.874466,-0.0183554,-0.0430505,0.0386806,0.998324,starting,
57,0.0466807,0.0962964,0.00236801,0.0025,10,-334631,-0.506637,0.861052,-0.0436814,-334631,-30385.5,-660.703,0.506637,-0.861052,0.0436814,-0.909033,-0.370714,-0.19034,-0.258039,-0.08845,0.962077,starting,
67,0.0300695,0.118938,0.00302058,0.0025,0,-227404,-0.294073,0.954354,0.0522476,9.63157e-12,-227404,2.4695e-13,0.907608,0.41919,0.0229492,0.294073,-0.954354,-0.0522476,0.209846,0.0271756,0.977357,"2",
68,0.0708545,0.0254581,0.00287867,0.0025,11,-322772,-0.930866,0.361253,0.0546312,-322772,-35443.3,-453.636,0.930866,-0.361253,-0.0546312,-0.427838,-0.902183,-0.0549556,-0.0859458,2.08059e-06,-0.9963,starting,
