LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
68,0.0700736,0.0108199,0.00286251,0.0025,0,-117213,-0.37134,-0.928293,0.0194691,-117213,-5795.51,-9.54038e-15,0.37134,0.928293,-0.0194691,0.927886,-0.372605,0.0139313,-0.00566939,0.0232335,0.999714,starting,
86,0.13041,0.0988378,0.00263521,0.0025,1,-40688.3,0.916375,0.393502,0.0735724,-40688.3,-0,-4.38614e-14,-0.916375,-0.393502,-0.0735724,-0.398358,0.901607,0.168572,0.390692,-0.920189,0.0247333,starting,
202,0.0444761,0.0492855,0.00267416,0.0025,2,-118428,0.987288,0.151305,-0.0486649,-118428,-9245.15,-3.04458e-13,-0.987288,-0.151305,0.0486649,0.153202,-0.986792,-0.0526413,-0.0559733,0.0444542,-0.997442,starting,
229,0.0396586,0.04953,0.0029554,0.0025,2,-79678,-0.997083,0.0494048,0.0581726,-79678,-2.7401e-13,2.6183e-14,-0.997083,0.0494048,0.0581726,0.0771201,0.645402,0.75994,-0.00720705,-0.812505,0.58291,"202",
231,0.137445,0.104961,0.00274341,0.0025,1,-44485.6,0.516147,0.854933,-0.051774,5.22585e-12,-44485.6,2.86146e-14,0.857319,-0.513845,0.031118,-0.516147,-0.854933,0.051774,0.0541306,0.0281947,0.998136,"397",
251,0.0552247,0.0905612,0.00286656,0.0025,3,-120883,-0.542999,-0.839673,0.0100287,-120883,-8031.58,-6.76682e-14,0.542999,0.839673,-0.0100287,0.838021,-0.542156,0.0615503,-0.0462263,0.0418125,0.998056,starting,
306,0.0691609,0.00605289,0.00296812,0.0025,0,-69159.2,-0.189658,-0.981609,0.0217403,-7.66099e-13,-69159.2,7.22558e-15,0.982169,-0.187956,0.00416277,-0.189658,-0.981609,0.0217403,0.0479187,0.0129524,0.998767,"68",
343,0.0487262,0.0517207,0.00254419,0.0025,2,-47995.1,0.873353,0.486322,-0.0273172,-47995.1,1.76274e-12,0,-0.873353,-0.486322,0.0273172,-0.497681,0.865995,-0.0486439,-0.00343948,0.0592801,0.998235,"202",
383,0.0536348,0.0859718,0.00298519,0.0025,3,-67444.3,-0.330221,-0.943592,0.0242428,1.91623e-12,-67444.3,4.19796e-15,0.94494,-0.327137,0.0084048,-0.330221,-0.943592,0.0242428,0.0130646,0.0213147,0.999687,"251",
385,0.0729688,0.014757,0.00278743,0.0025,0,-53849.3,0.587941,0.808756,-0.0154602,-1.30844e-12,-53849.3,-4.2484e-16,0.805676,-0.592249,0.0113215,-0.587941,-0.808756,0.0154602,0.0373153,-0.00838438,0.999268,"68",
388,0.0588578,0.0938061,0.00289889,0.0025,3,-61470.6,0.74252,0.669794,0.00633538,-61470.6,2.80627e-12,-1.82061e-16,-0.74252,-0.669794,-0.00633538,-0.666155,0.74578,0.0070541,0.0159532,-0.0278199,0.999486,"251",
397,0.134919,0.100762,0.00299901,0.0025,1,-76864.1,0.74318,0.669042,0.00816428,-76864.1,-8309.79,4.16848e-13,0.74318,0.669042,0.00816428,0.65393,-0.729316,0.20118,0.140559,-0.144181,-0.979518,"86",
