LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
11,0.0757892,0.0499842,0.00263224,0.0025,0,-125915,-0.0251658,0.999378,-0.0247042,-2.38627e-14,-125915,7.93432e-15,0.999846,0.0175485,-0.000433791,0.0251658,-0.999378,0.0247042,-0.386453,0.0202334,0.922087,starting,
27,0.047113,0.0724295,0.00295405,0.0025,1,-313411,-0.475507,0.879062,0.0338126,-313411,-7161.38,-4.05429e-12,0.475507,-0.879062,-0.0338126,0.847911,0.342887,-0.40432,-0.259685,-0.0590776,-0.963885,starting,
30,0.124367,0.0220051,0.00275528,0.0025,2,-279910,-0.725211,-0.688467,0.00908865,-279910,-85985.3,-238.424,0.725211,0.688467,-0.00908865,0.578452,-0.8154,0.0227071,0.0174159,-0.00437101,0.999839,starting,
31,0.0934487,0.0217889,0.00284262,0.0025,3,-214964,-0.981974,0.187756,-0.0218075,-214964,-123444,8.79571e-13,0.981974,-0.187756,0.0218075,0.337516,0.94122,0.0136994,0.0424403,0.00712195,-0.999074,starting,
34,0.0530527,0.100273,0.00289709,0.0025,4,-265722,-0.854659,0.518677,0.0230677,-265722,-93136.3,-1.57226e-13,0.854659,-0.518677,-0.0230677,-0.376019,-0.925565,0.04403,0.0463217,0.0345128,0.99833,starting,
55,0.0201892,0.0799207,0.00262221,0.0025,5,-537933,-0.263518,-0.964158,0.0309382,-148978,-537933,-1456.41,-0.960315,0.278445,0.0162565,0.263518,0.964158,-0.0309382,0.00268462,0.0364872,0.999331,starting,
69,0.0813346,0.101918,0.00274044,0.0025,6,-99314.3,0.95708,-0.289674,0.0093007,-99314.3,-1.19961e-12,-6.71415e-17,-0.95708,0.289674,-0.0093007,0.312481,0.949435,-0.030484,-0.00827917,0.0175447,0.999812,starting,
72,0.056835,0.0419458,0.00291291,0.0025,7,-140211,0.894565,0.444791,0.0437619,-140211,-1.59244e-12,-2.17876e-14,-0.894565,-0.444791,-0.0437619,-0.183154,0.97836,0.0962585,-0.111678,0.404438,0.907721,starting,
76,0.113187,0.128535,0.00293095,0.0025,8,-145843,0.976272,0.215978,0.0157274,-145843,-1099.75,3.47849e-14,-0.976272,-0.215978,-0.0157274,0.194384,-0.892517,-0.406974,-0.0730112,0.395028,-0.915763,starting,
86,0.120964,0.0945377,0.002591,0.0025,9,-306202,0.995665,0.0924803,0.0099736,-306202,-21034.1,2.85629e-13,-0.995665,-0.0924803,-0.0099736,0.0471809,-0.997251,-0.0571411,0.00784939,0.261478,-0.965178,starting,
97,0.0176012,0.0887343,0.00287815,0.0025,10,-340568,0.334142,-0.942386,0.0160337,-340568,-1.04705e-11,-436.316,-0.334142,0.942386,-0.0160337,0.871149,0.37272,-0.319654,0.713271,0.327918,0.619447,starting,
105,0.108562,0.12721,0.00272813,0.0025,8,-87408.1,-0.960491,-0.274988,-0.0428721,-87408.1,-1.07484e-12,1.30051e-14,-0.960491,-0.274988,-0.0428721,-0.278367,0.949011,0.147956,0.00856647,-0.180455,0.983546,"76",
106,0.0194419,0.0843411,0.00277207,0.0025,10,-333555,0.179187,-0.983647,-0.0181707,-333555,-2728.75,1.39741e-13,-0.179187,0.983647,0.0181707,0.968405,0.241837,-0.0608752,-0.0389711,-0.0404368,0.998422,"97",
112,0.0858832,0.100423,0.00280434,0.0025,6,-221620,0.994391,-0.102883,-0.0245289,-221620,-6962.58,2.14417e-13,-0.994391,0.102883,0.0245289,-0.105934,-0.979117,0.173516,-0.0418063,-0.169285,-0.98468,"69",
113,0.0877877,0.047608,0.00299514,0.0025,11,-305206,-0.327183,-0.944919,-0.00892982,-305206,-4465.58,-6.12032e-13,0.327183,0.944919,0.00892982,-0.890696,0.354052,-0.285147,0.874658,-0.335501,-0.349876,starting,
115,0.0290905,0.035799,0.00270939,0.0025,12,-423674,-0.999515,-0.0310924,0.00169842,-423674,-10492.9,-1244.08,0.999515,0.0310924,-0.00169842,-0.0225109,0.993094,0.11514,0.00686694,-0.31707,-0.948377,starting,
118,0.0415515,0.123841,0.00250564,0.0025,13,-136490,0.910708,-0.412643,-0.0183425,-136490,-5.59349e-12,-1.57099e-15,-0.910708,0.412643,0.0183425,0.362312,0.931137,0.0413903,-0.00413022,-0.0227872,0.999732,starting,
137,0.0521093,0.0644705,0.00252202,0.0025,1,-57683,0.243176,-0.969346,-0.0351254,0,-57683,-1.2358e-14,0.824414,0.565616,0.0204958,0.243176,-0.969346,-0.0351254,-0.822882,-0.565844,0.0518217,"207",
144,0.0246223,0.0359261,0.00296352,0.0025,12,-301683,-0.998991,0.0409321,0.0184738,-301683,-78114.5,-287.028,-0.998991,0.0409321,0.0184738,-0.25252,-0.967477,0.0148692,-0.0421039,-0.0214301,-0.998883,"115",
159,0.0880834,0.117043,0.00280543,0.0025,14,-143402,0.965318,-0.25948,-0.0288159,-143402,-3.67571e-12,1.97318e-14,-0.965318,0.25948,0.0288159,0.165129,0.980246,0.108859,-0.0304386,-0.438845,0.898047,starting,
161,0.0763971,0.0592294,0.00269842,0.0025,0,-189974,0.304435,0.951538,0.043534,1.25427e-12,-189974,-7.83098e-14,0.98854,-0.150803,-0.00689942,-0.304435,-0.951538,-0.043534,0.294431,-0.0881002,0.951603,"410",
164,0.0463467,0.111956,0.00273347,0.0025,4,-393871,-0.13032,0.99118,-0.0240608,-105154,-393871,-77.8171,0.996515,0.0467248,0.0691013,-0.13032,0.99118,-0.0240608,0.0797837,-0.0227249,-0.996553,"330",
168,0.0905932,0.100636,0.00256775,0.0025,6,-241543,0.989605,-0.142825,-0.0168491,-241543,-8699.32,-6.917e-14,-0.989605,0.142825,0.0168491,-0.1213,-0.976738,0.176831,-0.0408377,-0.187151,-0.981482,"112",
177,0.108045,0.115568,0.0029969,0.0025,15,-231311,0.156719,0.987454,0.019328,-231311,-1.6038e-11,-1280.51,-0.156719,-0.987454,-0.019328,-0.989368,0.0725459,0.126048,-0.69618,0.0432968,0.716561,starting,
192,0.0823034,0.129697,0.00268978,0.0025,16,-283981,-0.800226,-0.599127,-0.0261672,-283981,-28473.3,4.87742e-14,0.800226,0.599127,0.0261672,0.670091,-0.742114,-0.0156486,-0.0145266,-0.0327339,0.999359,starting,
198,0.102649,0.0222522,0.0025417,0.0025,3,-37096,0.99329,0.0982388,-0.0610255,-37096,1.23942e-13,0,-0.99329,-0.0982388,0.0610255,-0.260696,0.820074,-0.509427,0.0773135,0.0944317,0.992525,"373",
207,0.0493479,0.0684928,0.00259322,0.0025,1,-262345,0.557984,-0.827982,-0.0556817,-262345,-88877.6,-122.259,0.557984,-0.827982,-0.0556817,-0.86889,-0.493127,-0.0430875,-0.0070628,-0.0798168,0.996785,"27",
211,0.0320052,0.0259307,0.00300063,0.0025,17,-126675,0.649789,0.758251,0.0531888,-2.93524e-12,-126675,0,0.759594,-0.648803,-0.0455114,-0.649789,-0.758251,-0.0531888,0.0750584,-0.134664,0.988045,starting,
219,0.122864,0.128038,0.00288149,0.0025,8,-29659.4,0.978536,-0.204824,0.022683,-29659.4,-1.92796e-13,6.97946e-16,-0.978536,0.204824,-0.022683,0.206979,0.972401,-0.107687,-0.0202595,0.014774,0.999686,"341",
224,0.0893206,0.0520404,0.00257696,0.0025,11,-134516,0.075493,0.994881,-0.067182,0,-134516,-2.16396e-13,0.945488,-0.324917,0.0219409,-0.075493,-0.994881,0.067182,-0.679131,0.298152,0.670736,"113",
232,0.033926,0.128489,0.00247727,0.0025,13,-352364,-0.938372,0.345398,0.0125871,-352364,-58771.4,-6.88715e-13,0.938372,-0.345398,-0.0125871,0.449591,0.888897,-0.0879238,-0.0540431,-0.0761384,-0.995632,"241",
233,0.107641,0.110855,0.00253838,0.0025,15,-115413,-0.0831327,-0.991994,-0.0950623,1.20021e-13,-115413,4.57534e-14,0.99638,-0.0846211,-0.0081092,-0.0831327,-0.991994,-0.0950623,-0.974624,0.0626371,0.214908,"177",
234,0.121846,0.0319523,0.00273116,0.0025,18,-280606,-0.14679,0.989143,-0.00701582,-27546,-280606,-106.765,0.997011,0.0679334,0.0368045,0.14679,-0.989143,0.00701582,-0.0484593,0.00186753,0.998823,starting,
237,0.116492,0.0948602,0.002642,0.0025,9,-227175,-0.992558,0.121753,0.00235296,-227175,-36790.6,-2.95283e-14,-0.992558,0.121753,0.00235296,-0.121235,-0.990105,-0.0706649,-0.00573765,0.0780919,-0.99693,"86",
241,0.0371673,0.125546,0.00252639,0.0025,13,-399238,-0.906888,0.421371,0.000383483,-399238,-250803,-225.236,0.906888,-0.421371,-0.000383483,-0.549855,-0.835239,0.00594993,-0.00343386,0.00746035,0.999966,"118",
244,0.0260037,0.0186797,0.00300341,0.0025,17,-149803,-0.855184,-0.517933,0.0201493,-149803,-36072.7,-56.9322,0.855184,0.517933,-0.0201493,0.749206,-0.660739,0.0459837,-0.0492052,0.10324,0.993439,"331",
256,0.0381326,0.034441,0.00248759,0.0025,12,-137592,0.965396,-0.259657,0.0242489,-137592,-1.29415e-12,-1198.57,-0.965396,0.259657,-0.0242489,0.385021,0.887812,0.252089,-0.35646,-0.789633,0.499415,"387",
258,0.0522202,0.0411007,0.00272168,0.0025,7,-404596,-0.913995,-0.403849,-0.0389704,-404596,-163748,-32.9331,0.913995,0.403849,0.0389704,0.273057,-0.961965,-0.00797711,-0.0296382,-0.0460225,0.998501,"72",
