LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
1,0.0467625,0.100908,0.00294966,0.0025,0,-251746,0.149121,-0.988743,-0.012224,-123089,-251746,65.6632,-0.999882,0.00617913,-0.014029,-0.149121,0.988743,0.012224,-0.0131076,-0.068185,0.997587,starting,
2,0.0319511,0.11488,0.00272942,0.0025,1,-278273,0.327577,-0.943436,-0.0512071,-278273,-580.414,4.93861e-14,-0.327577,0.943436,0.0512071,-0.90206,-0.430109,-0.0359739,0.200031,0.162081,-0.96629,starting,
3,0.0790924,0.0758957,0.00282932,0.0025,2,-245267,-0.195676,-0.979455,-0.048765,-63195.7,-245267,6.54695e-14,-0.999685,-0.0232822,-0.00934094,0.195676,0.979455,0.048765,-0.0106837,-0.0586606,0.998221,starting,
4,0.101801,0.0616556,0.00266065,0.0025,3,-149676,-0.256847,0.965707,-0.0379399,1.88256e-12,-149676,-7.55936e-15,0.934131,0.356654,-0.0140119,0.256847,-0.965707,0.0379399,-0.193404,-0.032516,0.98058,starting,
5,0.0431068,0.0658494,0.00284855,0.0025,4,-379743,0.769288,0.63869,0.0164789,-379743,-18359.2,8.22163e-13,-0.769288,-0.63869,-0.0164789,0.651874,-0.74682,-0.131604,-0.114178,0.181283,-0.97678,starting,
7,0.0356874,0.0353181,0.00258641,0.0025,5,-488775,-0.620512,0.783992,-0.0179089,-488775,-172365,-2038.54,0.620512,-0.783992,0.0179089,-0.746668,-0.665156,-0.00745096,-0.0130836,0.0112839,0.999851,starting,
9,0.0553375,0.0401321,0.00253162,0.0025,6,-363083,-0.162089,0.986735,0.00895657,-174981,-363083,-184.1,-0.999936,-0.0111818,-0.00170247,0.162089,-0.986735,-0.00895657,0.0425736,0.00756247,-0.999065,starting,
11,0.0755492,0.0516443,0.002644,0.0025,7,-62124.6,-0.389579,0.920575,0.0277677,1.34953e-14,-62124.6,-2.65093e-14,0.999999,-0.00125528,-3.78636e-05,0.389579,-0.920575,-0.0277677,0.999381,0.000215937,0.035189,starting,
17,0.076002,0.0442185,0.00250567,0.0025,7,-170218,0.701227,-0.712879,-0.00923558,-170218,-8400.04,1.51029e-14,0.701227,-0.712879,-0.00923558,-0.642821,-0.763533,0.0616264,0.073036,0.0466901,0.996236,"382",
18,0.0960772,0.0602798,0.0027827,0.0025,3,-120339,-0.874411,0.48511,-0.00852621,-120339,-19736,6.37463e-15,0.874411,-0.48511,0.00852621,-0.824268,-0.562455,0.0650206,-0.015406,-0.00126102,0.999881,"154",
19,0.0816369,0.0304069,0.00274453,0.0025,8,-155012,0.661761,0.748785,-0.0373379,6.1057e-12,-155012,-7.51721e-15,0.740502,-0.67122,0.0334702,-0.661761,-0.748785,0.0373379,-0.0984625,0.139993,0.985245,starting,
21,0.0679013,0.0454846,0.00293289,0.0025,9,-509467,0.997136,0.074128,0.0149796,-509467,-125882,-1177.01,-0.997136,-0.074128,-0.0149796,0.0738264,-0.993125,0.0908388,0.043663,-0.141434,-0.988984,starting,
22,0.092728,0.0922304,0.00250414,0.0025,10,-518724,-0.776328,-0.630221,-0.0116995,-518724,-206111,-1000.98,0.776328,0.630221,0.0116995,0.632173,-0.774747,0.0111985,-0.011086,-0.00724021,0.999912,starting,
24,0.11272,0.0297851,0.00253117,0.0025,11,-295001,0.939457,0.342658,0.00258787,-295001,-3570.01,-9.87171e-13,-0.939457,-0.342658,-0.00258787,0.263607,-0.946269,-0.187312,-0.0674673,0.261951,-0.96272,starting,
25,0.0988508,0.0444025,0.002506,0.0025,12,-191233,-0.980752,0.195112,0.00750329,-191233,-172839,2.40036e-13,0.980752,-0.195112,-0.00750329,-0.0257629,0.997939,0.0587742,-0.00565853,0.0388709,-0.999228,starting,
28,0.0723639,0.0876422,0.00271471,0.0025,13,-285141,0.623868,-0.781457,-0.0106431,-285141,-791.971,-3.41102e-12,-0.623868,0.781457,0.0106431,-0.738751,-0.608021,0.290786,-0.426512,-0.352232,-0.833079,starting,
29,0.11152,0.0245462,0.00285868,0.0025,14,-117777,0.999097,-0.0157321,-0.0394666,-117777,7.92105e-13,-14052.2,-0.999097,0.0157321,0.0394666,0.0493357,-0.0970269,0.994058,-0.0383644,-0.993074,-0.111054,starting,
