LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
1,0.0451933,0.102193,0.00292093,0.0025,0,-178967,-0.40056,0.916127,-0.0162239,-178967,-36147.1,3.54418e-13,0.40056,-0.916127,0.0162239,-0.797324,-0.601388,-0.0510631,-0.10928,-0.107512,0.98818,starting,
2,0.0299468,0.116861,0.00272194,0.0025,1,-98233.1,0.468077,-0.88254,-0.0450183,-98233.1,-219.574,-7.7993e-14,-0.468077,0.88254,0.0450183,-0.879757,-0.475416,-0.00256889,0.0533359,0.0796844,-0.995392,starting,
3,0.0795637,0.0758977,0.0028175,0.0025,2,-145686,0.351197,0.935286,0.0436057,-7.55215e-12,-145686,9.50958e-16,0.98391,-0.178471,-0.00832083,-0.351197,-0.935286,-0.0436057,-0.104538,-0.0355641,0.993885,starting,
6,0.0432665,0.0493985,0.0024907,0.0025,3,-116977,-0.885312,-0.461022,0.0606733,-116977,-56511.3,-4.16862e-13,0.885312,0.461022,-0.0606733,-0.352491,0.935199,0.0339526,-0.104019,-0.0320307,-0.994059,starting,
7,0.0338615,0.0333696,0.0025942,0.0025,4,-171003,-0.784512,0.619044,-0.0363977,-171003,-31684.7,-21.1667,0.784512,-0.619044,0.0363977,-0.584102,-0.807114,-0.0859736,-0.102728,-0.0696618,0.992267,starting,
9,0.0543409,0.0382557,0.00255366,0.0025,5,-313091,-0.332181,-0.943215,0.000854464,-192461,-313091,-6.82287,-0.884814,0.465646,-0.0166941,0.332181,0.943215,-0.000854464,-0.0277789,0.0160748,0.999485,starting,
11,0.0756655,0.050842,0.00263773,0.0025,6,-102246,-0.105031,0.994391,-0.0124282,-6.63768e-14,-102246,1.10679e-15,0.999881,0.0154145,-0.000192656,0.105031,-0.994391,0.0124282,-0.388328,0.0253957,0.921171,starting,
12,0.0185172,0.0552283,0.0027063,0.0025,7,-157157,0.496445,0.86805,-0.00566702,-2.58019e-11,-157157,9.43259e-16,0.930197,-0.367052,0.00239628,-0.496445,-0.86805,0.00566702,-0.00885486,0.00209253,0.999959,starting,
13,0.0909382,0.119548,0.00282331,0.0025,8,-368643,-0.376409,0.926449,0.00286041,-368643,-21946.8,108.218,0.376409,-0.926449,-0.00286041,-0.938722,-0.316944,0.135454,0.110504,0.0435436,0.992921,starting,
15,0.0996143,0.0789226,0.00262064,0.0025,9,-192271,-0.832503,-0.552934,-0.0346682,-192271,-49408.7,-175.835,0.832503,0.552934,0.0346682,0.535526,-0.843823,-0.0342727,-0.00910082,-0.0864386,0.996216,starting,
16,0.0480477,0.0771867,0.00280951,0.0025,10,-128705,0.576957,-0.816551,0.0190863,-91166.8,-128705,1.57975e-13,-0.95118,0.308089,-0.0183896,-0.576957,0.816551,-0.0190863,-0.00864354,0.0336249,0.999397,starting,
17,0.075823,0.043021,0.00251412,0.0025,11,-197259,0.761154,-0.64827,-0.019767,-197259,0,2.73637e-14,-0.761154,0.64827,0.019767,0.575955,0.817101,0.024915,-0.575663,-0.81766,-0.00672233,starting,
18,0.0973002,0.0592972,0.00278372,0.0025,12,-149288,-0.819617,0.572838,-0.00920371,-149288,-57794.7,-4.27895e-16,0.819617,-0.572838,0.00920371,-0.901355,-0.43308,-0.00039146,-0.0131177,-0.000484197,0.999914,starting,
19,0.0821501,0.0283084,0.00274077,0.0025,13,-118892,0.669683,0.741793,-0.0356044,-1.04586e-12,-118892,4.35124e-14,0.742395,-0.669192,0.0321197,-0.669683,-0.741793,0.0356044,-0.244079,0.265291,0.932763,starting,
